k_pairs,n_unknowns,threshold,acc_Z,acc_X,overall_accuracy
2.0,4.0,0.0,0.4996,1.0,0.7498
3.0,6.0,0.0,0.7483,1.0,0.87415
4.0,8.0,0.0,0.8776,1.0,0.9388000000000001
5.0,10.0,0.0005,0.9374,1.0,0.9687
6.0,12.0,0.0005,0.9715,1.0,0.98575
7.0,14.0,0.0005,0.9836,1.0,0.9918
8.0,16.0,0.0,0.9932,1.0,0.9965999999999999
9.0,18.0,0.0,0.9986,1.0,0.9993000000000001
10.0,20.0,0.0005,0.9979,1.0,0.99895
11.0,22.0,0.0005,0.999,1.0,0.9995
12.0,24.0,0.0005,1.0,1.0,1.0
13.0,26.0,0.0005,0.9995,1.0,0.99975
14.0,28.0,0.0005,0.9996,1.0,0.9998
15.0,30.0,0.0005,0.9999,1.0,0.99995
16.0,32.0,0.0,1.0,1.0,1.0
17.0,34.0,0.0005,1.0,1.0,1.0
18.0,36.0,0.0005,1.0,1.0,1.0
19.0,38.0,0.0005,1.0,1.0,1.0
20.0,40.0,0.0005,1.0,1.0,1.0
